eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.2413244247436523,0.0298,33.554,33.554,1.0,5,,,,,,-1.899999999999999,50
2.241368055343628,0.0312,32.008,32.008,2.0,10,,,,,,-1.899999999999999,50
,,,,2.0,10,3.4368,11.639,2.91,15610061202432.0,8.925496673583984,-1.899999999999999,50
2.2430524826049805,0.0298,33.542,33.542,1.0,5,,,,,,-1.9999999999999991,51
2.2430691719055176,0.0313,31.986,31.986,2.0,10,,,,,,-1.9999999999999991,51
,,,,2.0,10,3.4455,11.609,2.902,15610061202432.0,8.924736785888673,-1.9999999999999991,51
2.2450904846191406,0.0317,31.531,31.531,1.0,5,,,,,,-2.099999999999999,52
2.2450947761535645,0.0469,21.319,21.319,2.0,10,,,,,,-2.099999999999999,52
,,,,2.0,10,3.4861,11.474,2.869,15610061202432.0,8.921862030029297,-2.099999999999999,52
2.2468924522399902,0.0298,33.55,33.55,1.0,5,,,,,,-2.1999999999999993,53
2.2468478679656982,0.0625,16.001,16.001,2.0,10,,,,,,-2.1999999999999993,53
,,,,2.0,10,3.5939,11.13,2.783,15610061202432.0,8.921402740478516,-2.1999999999999993,53
2.2487359046936035,0.0315,31.704,31.704,1.0,5,,,,,,-2.2999999999999994,54
2.2486932277679443,0.0302,33.124,33.124,2.0,10,,,,,,-2.2999999999999994,54
,,,,2.0,10,3.709,10.784,2.696,15610061202432.0,8.919145202636718,-2.2999999999999994,54
2.250589370727539,0.0465,21.518,21.518,1.0,5,,,,,,-2.3999999999999995,55
2.2506017684936523,0.0457,21.886,21.886,2.0,10,,,,,,-2.3999999999999995,55
,,,,2.0,10,3.4762,11.507,2.877,15610061202432.0,8.916058349609376,-2.3999999999999995,55
2.2523937225341797,0.0316,31.649,31.649,1.0,5,,,,,,-2.4999999999999996,56
2.2522919178009033,0.0312,32.005,32.005,2.0,10,,,,,,-2.4999999999999996,56
,,,,2.0,10,3.5272,11.34,2.835,15610061202432.0,8.913680267333984,-2.4999999999999996,56
2.253983974456787,0.0302,33.133,33.133,1.0,5,,,,,,-2.5999999999999996,57
2.2539591789245605,0.0454,22.006,22.006,2.0,10,,,,,,-2.5999999999999996,57
,,,,2.0,10,3.5071,11.406,2.851,15610061202432.0,8.911726379394532,-2.5999999999999996,57
2.255763053894043,0.0316,31.613,31.613,1.0,5,,,,,,-2.6999999999999997,58
2.255737066268921,0.0315,31.699,31.699,2.0,10,,,,,,-2.6999999999999997,58
,,,,2.0,10,3.4902,11.461,2.865,15610061202432.0,8.90746612548828,-2.6999999999999997,58
2.2574706077575684,0.0473,21.151,21.151,1.0,5,,,,,,-2.8,59
2.257396697998047,0.0316,31.681,31.681,2.0,10,,,,,,-2.8,59
,,,,2.0,10,3.4432,11.617,2.904,15610061202432.0,8.905058288574219,-2.8,59
2.2590737342834473,0.0458,21.84,21.84,1.0,5,,,,,,-2.9,60
2.258903741836548,0.0468,21.369,21.369,2.0,10,,,,,,-2.9,60
,,,,2.0,10,3.4797,11.495,2.874,15610061202432.0,8.901863098144531,-2.9,60
2.2606165409088135,0.0612,16.335,16.335,1.0,5,,,,,,-3.0,61
2.260526180267334,0.0469,21.325,21.325,2.0,10,,,,,,-3.0,61
,,,,2.0,10,3.4833,11.483,2.871,15610061202432.0,8.899128723144532,-3.0,61
